year,state,industry,nsva,industry_startups,industry_share,industry_cagr_3y,startup_cagr_3y,economic_strength_score,industry_growth_score,startup_momentum_score,underpenetration_score,industry_presence_score,balanced_opportunity_score,growth_opportunity_score,market entry_opportunity_score,balanced_rank,growth_rank,market entry_rank,opportunity_tier,key_drivers,top_drivers,weakest_dimensions,best_strategy,business_recommendation,ml_growth_probability,ml_high_growth_prediction,ml_growth_category
2025,Andhra Pradesh,AI,1441786.0,45.0,0.0647482014388489,85.93942827232803,22.185576696861546,46.15,92.31,100.0,25.78,84.62,69.77,75.54,58.5,1.0,1.0,2.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Growth. Main consideration: Underpenetration, Economic Strength.",34.87,0.0,Low
2025,Andhra Pradesh,AR VR (Augmented + Virtual Reality),1441786.0,2.0,0.0028776978417266,25.99210498948732,22.185576696861546,30.0,95.0,100.0,66.26,50.0,68.25,79.5,62.88,2.0,1.0,5.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Economic Strength, Industry Presence",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Growth. Main consideration: Economic Strength, Industry Presence.",67.19,1.0,High
2025,Andhra Pradesh,Advertising,1441786.0,3.0,0.0043165467625899,14.471424255333186,22.185576696861546,41.67,66.67,100.0,61.78,25.0,59.02,67.36,56.87,6.0,2.0,7.0,Moderate Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",67.44,1.0,High
2025,Andhra Pradesh,Aeronautics Aerospace & Defence,1441786.0,15.0,0.0215827338129496,35.72088082974532,22.185576696861546,41.67,100.0,100.0,39.71,91.67,74.61,81.28,63.58,1.0,1.0,2.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Underpenetration, Economic Strength.",45.99,0.0,Moderate
2025,Andhra Pradesh,Agriculture,1441786.0,52.0,0.074820143884892,16.36699011798588,22.185576696861546,50.0,85.71,92.86,24.02,64.29,63.37,69.45,55.06,2.0,2.0,2.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Underpenetration, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Underpenetration, Economic Strength.",52.95,1.0,Moderate
2025,Andhra Pradesh,Airport Operations,1441786.0,2.0,0.0028776978417266,,22.185576696861546,25.0,,100.0,66.26,100.0,,,,,,,Lower Opportunity,"Startup Momentum, Industry Presence","Startup Momentum, Industry Presence","Economic Strength, Underpenetration",Balanced,"Lower relative opportunity under the balanced strategy. Primary strengths: Startup Momentum, Industry Presence; constraints: Economic Strength, Underpenetration.",,,
2025,Andhra Pradesh,Animation,1441786.0,1.0,0.0014388489208633,-20.62994740159002,22.185576696861546,37.5,21.43,100.0,71.73,50.0,56.13,55.6,52.06,5.0,5.0,7.0,Moderate Opportunity,"Startup Momentum, Underpenetration","Startup Momentum, Underpenetration","Industry Growth, Economic Strength",Balanced,"Moderate market opportunity with strength in Startup Momentum, Underpenetration. Potential constraints: Industry Growth, Economic Strength.",89.53,1.0,Very High
2025,Andhra Pradesh,Architecture Interior Design,1441786.0,2.0,0.0028776978417266,25.99210498948732,22.185576696861546,41.67,87.5,100.0,66.26,8.33,60.75,73.88,60.71,3.0,1.0,3.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",67.19,1.0,High
2025,Andhra Pradesh,Automotive,1441786.0,8.0,0.0115107913669064,-25.048764643136913,22.185576696861546,41.67,16.67,100.0,49.16,16.67,44.83,46.5,42.25,9.0,8.0,9.0,Moderate Opportunity,"Startup Momentum, Underpenetration","Startup Momentum, Underpenetration","Industry Growth, Industry Presence",Growth,"Lower relative opportunity under the balanced strategy. Primary strengths: Startup Momentum, Underpenetration; constraints: Industry Growth, Industry Presence.",70.29,1.0,High
2025,Andhra Pradesh,Biotechnology,1441786.0,5.0,0.0071942446043165,7.721734501594191,22.185576696861546,46.15,63.64,100.0,56.04,61.54,65.47,69.25,59.54,3.0,2.0,6.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Economic Strength, Underpenetration",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Growth. Main consideration: Economic Strength, Underpenetration.",71.71,1.0,High
2025,Andhra Pradesh,Chemicals,1441786.0,3.0,0.0043165467625899,44.22495703074083,22.185576696861546,41.67,100.0,100.0,61.78,41.67,69.02,80.69,65.2,1.0,1.0,4.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Economic Strength, Industry Presence",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Economic Strength, Industry Presence.",58.02,1.0,Moderate
2025,Andhra Pradesh,Computer Vision,1441786.0,1.0,0.0014388489208633,0.0,22.185576696861546,36.36,45.0,100.0,71.73,45.45,59.71,63.28,55.97,5.0,4.0,7.0,Moderate Opportunity,"Startup Momentum, Underpenetration","Startup Momentum, Underpenetration","Economic Strength, Industry Growth",Growth,"Moderate market opportunity with strength in Startup Momentum, Underpenetration. Potential constraints: Economic Strength, Industry Growth.",79.42,1.0,Very High
2025,Andhra Pradesh,Construction,1441786.0,58.0,0.0834532374100719,18.336844122387276,22.185576696861546,50.0,78.57,92.86,23.11,64.29,61.77,66.77,53.36,2.0,2.0,2.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Underpenetration, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Underpenetration, Economic Strength.",49.08,0.0,Moderate
2025,Andhra Pradesh,Design,1441786.0,2.0,0.0028776978417266,-20.62994740159002,22.185576696861546,46.15,23.08,100.0,66.26,30.77,53.25,54.02,51.42,8.0,7.0,9.0,Moderate Opportunity,"Startup Momentum, Underpenetration","Startup Momentum, Underpenetration","Industry Growth, Industry Presence",Growth,"Moderate market opportunity with strength in Startup Momentum, Underpenetration. Potential constraints: Industry Growth, Industry Presence.",84.94,1.0,Very High
2025,Andhra Pradesh,Education,1441786.0,49.0,0.0705035971223021,17.7673606017982,22.185576696861546,46.15,92.31,100.0,24.83,92.31,71.12,76.12,58.99,1.0,1.0,2.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Growth. Main consideration: Underpenetration, Economic Strength.",52.4,1.0,Moderate
2025,Andhra Pradesh,Enterprise Software,1441786.0,13.0,0.018705035971223,63.032441550291594,22.185576696861546,41.67,100.0,100.0,42.38,83.33,73.48,80.98,63.55,1.0,1.0,1.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Economic Strength, Underpenetration",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Economic Strength, Underpenetration.",45.61,0.0,Moderate
2025,Andhra Pradesh,Events,1441786.0,4.0,0.0057553956834532,10.064241629820891,22.185576696861546,46.15,46.15,100.0,58.44,76.92,65.53,65.15,58.3,2.0,4.0,7.0,High Opportunity,"Startup Momentum, Industry Presence","Startup Momentum, Industry Presence","Economic Strength, Industry Growth",Balanced,"Strong market opportunity. Key strengths: Startup Momentum, Industry Presence. Main consideration: Economic Strength, Industry Growth.",69.85,1.0,High
2025,Andhra Pradesh,Fashion,1441786.0,6.0,0.0086330935251798,44.22495703074083,22.185576696861546,46.15,96.15,100.0,54.14,15.38,62.37,75.64,60.86,2.0,1.0,3.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",58.25,1.0,Moderate
2025,Andhra Pradesh,Finance Technology,1441786.0,10.0,0.014388489208633,0.0,22.185576696861546,41.67,58.33,100.0,45.82,8.33,50.83,59.58,48.74,6.0,5.0,8.0,Moderate Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",67.41,1.0,High
2025,Andhra Pradesh,Food & Beverages,1441786.0,44.0,0.0633093525179856,22.39034103416604,22.185576696861546,50.0,92.31,92.86,26.01,71.43,66.52,72.87,57.69,1.0,1.0,2.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Growth. Main consideration: Underpenetration, Economic Strength.",50.59,1.0,Moderate
2025,Andhra Pradesh,Green Technology,1441786.0,8.0,0.0115107913669064,-3.850028646172776,22.185576696861546,46.15,50.0,100.0,49.16,30.77,55.22,60.02,51.67,7.0,5.0,7.0,Moderate Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",68.0,1.0,High
2025,Andhra Pradesh,Healthcare & Lifesciences,1441786.0,66.0,0.0949640287769784,48.880555295382734,22.185576696861546,50.0,100.0,92.86,21.39,64.29,65.71,73.92,57.13,1.0,1.0,3.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Underpenetration, Economic Strength.",31.71,0.0,Low
2025,Andhra Pradesh,House-Hold Services,1441786.0,4.0,0.0057553956834532,25.99210498948732,22.185576696861546,41.67,86.36,100.0,58.44,25.0,62.29,73.58,59.8,4.0,2.0,4.0,Moderate Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",65.64,1.0,High
2025,Andhra Pradesh,Human Resources,1441786.0,16.0,0.0230215827338129,38.672254870126935,22.185576696861546,46.15,100.0,100.0,38.49,69.23,70.77,79.24,62.32,1.0,1.0,2.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Underpenetration, Economic Strength.",42.66,0.0,Moderate
2025,Andhra Pradesh,IT Services,1441786.0,96.0,0.1381294964028777,20.402687581758293,22.185576696861546,46.15,100.0,100.0,18.91,92.31,71.47,77.63,58.75,1.0,1.0,2.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Underpenetration, Economic Strength",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Underpenetration, Economic Strength.",46.45,0.0,Moderate
2025,Andhra Pradesh,Indic Language Startups,1441786.0,2.0,0.0028776978417266,25.99210498948732,22.185576696861546,41.67,95.45,100.0,66.26,58.33,72.34,81.66,67.3,1.0,1.0,3.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Economic Strength, Industry Presence",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Growth. Main consideration: Economic Strength, Industry Presence.",67.19,1.0,High
2025,Andhra Pradesh,Internet of Things,1441786.0,3.0,0.0043165467625899,-24.60525588708462,22.185576696861546,36.36,18.18,100.0,61.78,18.18,46.9,49.17,44.9,10.0,8.0,9.0,Lower Opportunity,"Startup Momentum, Underpenetration","Startup Momentum, Underpenetration","Industry Growth, Industry Presence",Growth,"Lower relative opportunity under the balanced strategy. Primary strengths: Startup Momentum, Underpenetration; constraints: Industry Growth, Industry Presence.",81.29,1.0,Very High
2025,Andhra Pradesh,Logistics,1441786.0,9.0,0.0129496402877697,21.644039911467992,22.185576696861546,46.15,66.67,92.31,47.26,84.62,67.4,68.94,59.05,2.0,2.0,4.0,High Opportunity,"Startup Momentum, Industry Presence","Startup Momentum, Industry Presence","Economic Strength, Underpenetration",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Presence. Main consideration: Economic Strength, Underpenetration.",53.68,1.0,Moderate
2025,Andhra Pradesh,Marketing,1441786.0,6.0,0.0086330935251798,14.471424255333186,22.185576696861546,46.15,100.0,100.0,54.14,15.38,63.14,76.98,61.63,2.0,1.0,4.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Industry Growth, Startup Momentum. Potential constraints: Industry Presence, Economic Strength.",68.81,1.0,High
2025,Andhra Pradesh,Media & Entertainment,1441786.0,7.0,0.0100719424460431,32.63524026321307,22.185576696861546,46.15,92.31,100.0,51.79,30.77,64.2,75.36,60.92,1.0,1.0,4.0,High Opportunity,"Startup Momentum, Industry Growth","Startup Momentum, Industry Growth","Industry Presence, Economic Strength",Growth,"Moderate market opportunity with strength in Startup Momentum, Industry Growth. Potential constraints: Industry Presence, Economic Strength.",53.35,1.0,Moderate
2025,Andhra Pradesh,Non- Renewable Energy,1441786.0,3.0,0.0043165467625899,-35.15006827519721,22.185576696861546,41.67,66.67,100.0,61.78,75.0,69.02,72.36,61.87,3.0,2.0,4.0,High Opportunity,"Startup Momentum, Industry Presence","Startup Momentum, Industry Presence","Economic Strength, Underpenetration",Growth,"Strong market opportunity. Key strengths: Startup Momentum, Industry Presence. Main consideration: Economic Strength, Underpenetration.",80.18,1.0,Very High
2025,Andhra Pradesh,Other Specialty Retailers,1441786.0,9.0,0.0129496402877697,108.0083823051904,22.185576696861546,46.15,100.0,100.0,47.26,46.15,67.91,78.68,62.64,2.0,1.0,3.0,High Opportunity,"Industry Growth, Startup Momentum","Industry Growth, Startup Momentum","Economic Strength, Industry Presence",Growth,"Strong market opportunity. Key strengths: Industry Growth, Startup Momentum. Main consideration: Economic Strength, Industry Presence.",43.44,0.0,Moderate
