YEAR,Internet Penetration
1992,0.000111
1993,0.000218
1994,0.00107
1995,0.0262
1996,0.0463
1997,0.0708
1998,0.139
1999,0.273
2000,0.52753245
2001,0.660146377
2002,1.537875582
2003,1.686489971
2004,1.976136492
2005,2.388099909
2006,2.805499865
2007,3.95
2008,4.38
2009,5.12
2010,7.5
2011,10.07
2012,11.10000038
2013,12.30000019
2014,13.5
2015,14.89999962
2016,16.5
2017,18.20000076
2018,20.08130004
2019,29.52350044
2020,43.40544313
2021,49.2580986
2022,55.9
2023,60.25230026
2024,64.9434967
2025,70
