Year,State,NSVA
2025-26   ,ANDHRA PRADESH,"14,41,786"
2024-25   ,ANDHRA PRADESH,"13,05,973"
2023-24   ,ANDHRA PRADESH,"11,70,666"
2022-23   ,ANDHRA PRADESH,"10,85,027"
2021-22   ,ANDHRA PRADESH,"9,42,891"
2020-21   ,ANDHRA PRADESH,"8,03,306"
2019-20   ,ANDHRA PRADESH,"7,65,042"
2018-19   ,ANDHRA PRADESH,"7,15,264"
2017-18   ,ANDHRA PRADESH,"6,45,027"
2016-17   ,ANDHRA PRADESH,"5,52,436"
2015-16   ,ANDHRA PRADESH,"4,97,019"
2014-15   ,ANDHRA PRADESH,"4,33,667"
2013-14   ,ANDHRA PRADESH,"3,75,614"
2012-13   ,ANDHRA PRADESH,"3,38,269"
2011-12   ,ANDHRA PRADESH,"3,10,347"
2025-26   ,ARUNACHAL PRADESH,"40,196"
2024-25   ,ARUNACHAL PRADESH,"35,936"
2023-24   ,ARUNACHAL PRADESH,"30,829"
2022-23   ,ARUNACHAL PRADESH,"28,827"
2021-22   ,ARUNACHAL PRADESH,"27,322"
2020-21   ,ARUNACHAL PRADESH,"25,740"
2019-20   ,ARUNACHAL PRADESH,"25,832"
2018-19   ,ARUNACHAL PRADESH,"21,845"
2017-18   ,ARUNACHAL PRADESH,"19,664"
2016-17   ,ARUNACHAL PRADESH,"17,366"
2015-16   ,ARUNACHAL PRADESH,"16,432"
2014-15   ,ARUNACHAL PRADESH,"16,074"
2013-14   ,ARUNACHAL PRADESH,"13,073"
2012-13   ,ARUNACHAL PRADESH,"11,474"
2011-12   ,ARUNACHAL PRADESH,"10,021"
2025-26   ,ASSAM,-
2024-25   ,ASSAM,"5,21,255"
2023-24   ,ASSAM,"4,67,963"
2022-23   ,ASSAM,"3,94,224"
2021-22   ,ASSAM,"3,32,387"
2020-21   ,ASSAM,"2,72,496"
2019-20   ,ASSAM,"2,83,152"
2018-19   ,ASSAM,"2,49,436"
2017-18   ,ASSAM,"2,33,267"
2016-17   ,ASSAM,"2,05,330"
2015-16   ,ASSAM,"1,88,524"
2014-15   ,ASSAM,"1,61,420"
2013-14   ,ASSAM,"1,50,547"
2012-13   ,ASSAM,"1,33,785"
2011-12   ,ASSAM,"1,21,469"
2025-26   ,BIHAR,"9,69,815"
2024-25   ,BIHAR,"8,67,619"
2023-24   ,BIHAR,"7,68,812"
2022-23   ,BIHAR,"6,82,019"
2021-22   ,BIHAR,"5,80,917"
2020-21   ,BIHAR,"4,99,910"
2019-20   ,BIHAR,"5,10,523"
2018-19   ,BIHAR,"4,65,979"
2017-18   ,BIHAR,"4,20,796"
2016-17   ,BIHAR,"3,74,285"
